,Ort,Zimmer,Durchschnittspreis/m2
0,Zürich,1,21.8
1,Bern,1,16.0
2,Luzern,1,18.8
3,Uri,1,13.4
4,Schwyz,1,17.9
5,Obwalden,1,15.9
6,Nidwalden,1,14.6
7,Glarus,1,12.7
8,Zug,1,22.1
9,Freiburg,1,18.2
10,Solothurn,1,12.9
11,Basel-Stadt,1,17.5
12,Basel-Landschaft,1,17.0
13,Schaffhausen,1,11.7
14,Appenzell A.Rh.,1,16.5
15,Appenzell I.Rh.,1,15.6
16,St.Gallen,1,15.9
17,Graubünden,1,18.7
18,Aargau,1,16.3
19,Thurgau,1,13.8
20,Tessin,1,11.7
21,Waadt,1,21.3
22,Wallis,1,17.4
23,Neuenburg,1,11.9
24,Genf,1,19.7
25,Jura,1,11.8
26,Zürich,2,20.7
27,Bern,2,15.2
28,Luzern,2,16.8
29,Uri,2,13.4
30,Schwyz,2,17.8
31,Obwalden,2,14.6
32,Nidwalden,2,16.6
33,Glarus,2,15.2
34,Zug,2,21.7
35,Freiburg,2,15.7
36,Solothurn,2,13.9
37,Basel-Stadt,2,18.2
38,Basel-Landschaft,2,17.1
39,Schaffhausen,2,15.2
40,Appenzell A.Rh.,2,15.0
41,Appenzell I.Rh.,2,11.2
42,St.Gallen,2,15.4
43,Graubünden,2,16.4
44,Aargau,2,16.0
45,Thurgau,2,14.4
46,Tessin,2,13.2
47,Waadt,2,18.3
48,Wallis,2,14.9
49,Neuenburg,2,12.6
50,Genf,2,18.8
51,Jura,2,11.0
52,Zürich,3,18.7
53,Bern,3,14.5
54,Luzern,3,15.4
55,Uri,3,13.1
56,Schwyz,3,16.3
57,Obwalden,3,14.0
58,Nidwalden,3,16.7
59,Glarus,3,12.7
60,Zug,3,19.5
61,Freiburg,3,14.8
62,Solothurn,3,13.6
63,Basel-Stadt,3,16.8
64,Basel-Landschaft,3,16.7
65,Schaffhausen,3,13.5
66,Appenzell A.Rh.,3,12.8
67,Appenzell I.Rh.,3,15.0
68,St.Gallen,3,14.4
69,Graubünden,3,15.3
70,Aargau,3,15.1
71,Thurgau,3,13.9
72,Tessin,3,13.5
73,Waadt,3,17.1
74,Wallis,3,13.9
75,Neuenburg,3,11.7
76,Genf,3,18.5
77,Jura,3,11.3
78,Zürich,4,17.5
79,Bern,4,14.1
80,Luzern,4,14.2
81,Uri,4,12.6
82,Schwyz,4,16.0
83,Obwalden,4,13.6
84,Nidwalden,4,15.1
85,Glarus,4,12.7
86,Zug,4,18.8
87,Freiburg,4,13.5
88,Solothurn,4,12.9
89,Basel-Stadt,4,16.7
90,Basel-Landschaft,4,16.2
91,Schaffhausen,4,12.8
92,Appenzell A.Rh.,4,12.7
93,Appenzell I.Rh.,4,13.0
94,St.Gallen,4,13.3
95,Graubünden,4,14.8
96,Aargau,4,14.3
97,Thurgau,4,12.8
98,Tessin,4,13.5
99,Waadt,4,15.9
100,Wallis,4,12.6
101,Neuenburg,4,12.2
102,Genf,4,18.1
103,Jura,4,11.3
104,Zürich,5,17.6
105,Bern,5,13.6
106,Luzern,5,14.1
107,Uri,5,12.8
108,Schwyz,5,15.3
109,Obwalden,5,12.8
110,Nidwalden,5,14.9
111,Glarus,5,11.5
112,Zug,5,18.7
113,Freiburg,5,13.5
114,Solothurn,5,12.9
115,Basel-Stadt,5,17.3
116,Basel-Landschaft,5,16.8
117,Schaffhausen,5,13.3
118,Appenzell A.Rh.,5,11.8
119,Appenzell I.Rh.,5,12.6
120,St.Gallen,5,12.8
121,Graubünden,5,12.2
122,Aargau,5,14.2
123,Thurgau,5,11.9
124,Tessin,5,14.2
125,Waadt,5,16.7
126,Wallis,5,12.8
127,Neuenburg,5,12.7
128,Genf,5,18.5
129,Jura,5,9.3
130,Zürich,6,18.1
131,Bern,6,13.5
132,Luzern,6,14.2
133,Uri,6,12.8
134,Schwyz,6,17.2
135,Obwalden,6,12.3
136,Nidwalden,6,14.5
137,Glarus,6,10.3
138,Zug,6,22.5
139,Freiburg,6,13.7
140,Solothurn,6,13.2
141,Basel-Stadt,6,19.1
142,Basel-Landschaft,6,18.4
143,Schaffhausen,6,13.5
144,Appenzell A.Rh.,6,10.8
145,Appenzell I.Rh.,6,15.1
146,St.Gallen,6,12.3
147,Graubünden,6,11.9
148,Aargau,6,14.1
149,Thurgau,6,11.8
150,Tessin,6,16.0
151,Waadt,6,17.3
152,Wallis,6,14.0
153,Neuenburg,6,13.4
154,Genf,6,22.6
155,Jura,6,9.9
156,Zürich,1.5,21.25
157,Bern,1.5,15.6
158,Luzern,1.5,17.8
159,Uri,1.5,13.4
160,Schwyz,1.5,17.85
161,Obwalden,1.5,15.25
162,Nidwalden,1.5,15.600000000000001
163,Glarus,1.5,13.95
164,Zug,1.5,21.9
165,Freiburg,1.5,16.95
166,Solothurn,1.5,13.4
167,Basel-Stadt,1.5,17.85
168,Basel-Landschaft,1.5,17.05
169,Schaffhausen,1.5,13.45
170,Appenzell A.Rh.,1.5,15.75
171,Appenzell I.Rh.,1.5,13.399999999999999
172,St.Gallen,1.5,15.65
173,Graubünden,1.5,17.549999999999997
174,Aargau,1.5,16.15
175,Thurgau,1.5,14.100000000000001
176,Tessin,1.5,12.45
177,Waadt,1.5,19.8
178,Wallis,1.5,16.15
179,Neuenburg,1.5,12.25
180,Genf,1.5,19.25
181,Jura,1.5,11.4
182,Zürich,2.5,19.7
183,Bern,2.5,14.85
184,Luzern,2.5,16.1
185,Uri,2.5,13.25
186,Schwyz,2.5,17.05
187,Obwalden,2.5,14.3
188,Nidwalden,2.5,16.65
189,Glarus,2.5,13.95
190,Zug,2.5,20.6
191,Freiburg,2.5,15.25
192,Solothurn,2.5,13.75
193,Basel-Stadt,2.5,17.5
194,Basel-Landschaft,2.5,16.9
195,Schaffhausen,2.5,14.35
196,Appenzell A.Rh.,2.5,13.9
197,Appenzell I.Rh.,2.5,13.1
198,St.Gallen,2.5,14.9
199,Graubünden,2.5,15.85
200,Aargau,2.5,15.55
201,Thurgau,2.5,14.15
202,Tessin,2.5,13.35
203,Waadt,2.5,17.700000000000003
204,Wallis,2.5,14.4
205,Neuenburg,2.5,12.149999999999999
206,Genf,2.5,18.65
207,Jura,2.5,11.15
208,Zürich,3.5,18.1
209,Bern,3.5,14.3
210,Luzern,3.5,14.8
211,Uri,3.5,12.85
212,Schwyz,3.5,16.15
213,Obwalden,3.5,13.8
214,Nidwalden,3.5,15.899999999999999
215,Glarus,3.5,12.7
216,Zug,3.5,19.15
217,Freiburg,3.5,14.15
218,Solothurn,3.5,13.25
219,Basel-Stadt,3.5,16.75
220,Basel-Landschaft,3.5,16.45
221,Schaffhausen,3.5,13.15
222,Appenzell A.Rh.,3.5,12.75
223,Appenzell I.Rh.,3.5,14.0
224,St.Gallen,3.5,13.850000000000001
225,Graubünden,3.5,15.05
226,Aargau,3.5,14.7
227,Thurgau,3.5,13.350000000000001
228,Tessin,3.5,13.5
229,Waadt,3.5,16.5
230,Wallis,3.5,13.25
231,Neuenburg,3.5,11.95
232,Genf,3.5,18.3
233,Jura,3.5,11.3
234,Zürich,4.5,17.55
235,Bern,4.5,13.85
236,Luzern,4.5,14.149999999999999
237,Uri,4.5,12.7
238,Schwyz,4.5,15.65
239,Obwalden,4.5,13.2
240,Nidwalden,4.5,15.0
241,Glarus,4.5,12.1
242,Zug,4.5,18.75
243,Freiburg,4.5,13.5
244,Solothurn,4.5,12.9
245,Basel-Stadt,4.5,17.0
246,Basel-Landschaft,4.5,16.5
247,Schaffhausen,4.5,13.05
248,Appenzell A.Rh.,4.5,12.25
249,Appenzell I.Rh.,4.5,12.8
250,St.Gallen,4.5,13.05
251,Graubünden,4.5,13.5
252,Aargau,4.5,14.25
253,Thurgau,4.5,12.350000000000001
254,Tessin,4.5,13.85
255,Waadt,4.5,16.3
256,Wallis,4.5,12.7
257,Neuenburg,4.5,12.45
258,Genf,4.5,18.3
259,Jura,4.5,10.3
260,Zürich,5.5,17.85
261,Bern,5.5,13.55
262,Luzern,5.5,14.149999999999999
263,Uri,5.5,12.8
264,Schwyz,5.5,16.25
265,Obwalden,5.5,12.55
266,Nidwalden,5.5,14.7
267,Glarus,5.5,10.9
268,Zug,5.5,20.6
269,Freiburg,5.5,13.6
270,Solothurn,5.5,13.05
271,Basel-Stadt,5.5,18.200000000000003
272,Basel-Landschaft,5.5,17.6
273,Schaffhausen,5.5,13.4
274,Appenzell A.Rh.,5.5,11.3
275,Appenzell I.Rh.,5.5,13.85
276,St.Gallen,5.5,12.55
277,Graubünden,5.5,12.05
278,Aargau,5.5,14.149999999999999
279,Thurgau,5.5,11.850000000000001
280,Tessin,5.5,15.1
281,Waadt,5.5,17.0
282,Wallis,5.5,13.4
283,Neuenburg,5.5,13.05
284,Genf,5.5,20.55
285,Jura,5.5,9.600000000000001
